Game,Rounds,P0 Score,P1 Score,Winner
0,5,10,100,1
1,12,84,109,1
2,11,87,107,1
3,11,29,103,1
4,12,71,103,1
5,9,117,50,0
6,9,102,60,0
7,10,82,107,1
8,8,110,16,0
9,7,105,9,0
10,9,57,107,1
11,14,83,109,1
12,5,57,134,1
13,11,51,104,1
14,10,48,119,1
15,12,102,83,0
16,9,98,110,1
17,9,19,115,1
18,8,100,27,0
19,7,94,178,1
20,10,110,39,0
21,9,119,87,0
22,7,37,101,1
23,8,136,11,0
24,5,110,54,0
25,5,130,12,0
26,12,132,63,0
27,16,96,114,1
28,6,61,104,1
29,13,65,109,1
30,10,88,124,1
31,9,104,60,0
32,6,6,102,1
33,14,100,98,0
34,8,56,105,1
35,7,103,12,0
36,9,123,47,0
37,3,107,0,0
38,5,121,0,0
39,6,103,9,0
40,15,113,82,0
41,5,15,107,1
42,9,148,37,0
43,5,19,114,1
44,10,114,72,0
45,14,63,117,1
46,11,113,64,0
47,13,102,98,0
48,13,49,129,1
49,9,112,31,0
