Game,Rounds,P0 Score,P1 Score,Winner
0,11,32,102,1
1,7,127,40,0
2,8,155,46,0
3,5,119,73,0
4,6,116,30,0
5,10,62,106,1
6,12,116,27,0
7,10,67,101,1
8,5,102,11,0
9,2,0,104,1
10,8,134,83,0
11,6,119,10,0
12,7,130,20,0
13,9,114,73,0
14,11,140,80,0
15,5,114,34,0
16,6,124,32,0
17,11,133,39,0
18,12,80,113,1
19,13,107,92,0
20,12,100,97,0
21,13,106,92,0
22,7,115,48,0
23,4,120,0,0
24,10,87,118,1
25,5,8,133,1
26,10,55,106,1
27,9,36,116,1
28,4,0,101,1
29,11,62,113,1
30,8,0,130,1
31,14,57,101,1
32,15,90,120,1
33,7,107,0,0
34,6,50,103,1
35,11,104,96,0
36,13,40,116,1
37,9,52,101,1
38,3,106,0,0
39,8,106,50,0
40,12,137,86,0
41,8,50,125,1
42,11,65,106,1
43,5,0,166,1
44,13,119,67,0
45,18,64,112,1
46,7,115,27,0
47,7,35,104,1
48,8,89,106,1
49,10,109,62,0
