Game,Rounds,P0 Score,P1 Score,Winner
0,12,119,86,0
1,12,108,36,0
2,10,72,111,1
3,15,95,123,1
4,11,106,76,0
5,13,107,81,0
6,7,127,22,0
7,11,84,102,1
8,9,99,104,1
9,10,53,116,1
10,12,108,72,0
11,6,23,127,1
12,7,54,103,1
13,7,59,125,1
14,8,142,33,0
15,9,108,54,0
16,7,41,100,1
17,6,110,24,0
18,8,41,113,1
19,13,63,106,1
20,13,118,82,0
21,11,37,112,1
22,8,108,70,0
23,10,41,103,1
24,2,0,124,1
25,8,20,110,1
26,12,118,80,0
27,9,130,36,0
28,8,26,101,1
29,7,123,21,0
30,12,96,105,1
31,9,52,101,1
32,8,107,83,0
33,8,60,113,1
34,9,124,92,0
35,11,116,82,0
36,14,90,111,1
37,9,139,10,0
38,8,106,33,0
39,13,94,102,1
40,9,83,112,1
41,5,110,22,0
42,12,83,109,1
43,8,121,96,0
44,13,96,114,1
45,9,112,70,0
46,10,67,102,1
47,9,111,85,0
48,11,80,111,1
49,5,124,1,0
