Game,Rounds,P0 Score,P1 Score,Winner
0,7,100,48,0
1,12,129,81,0
2,5,105,3,0
3,11,38,102,1
4,6,24,100,1
5,9,105,49,0
6,9,69,128,1
7,9,73,101,1
8,8,117,82,0
9,12,110,81,0
10,6,37,115,1
11,13,79,113,1
12,8,110,91,0
13,7,76,108,1
14,9,53,137,1
15,13,105,78,0
16,12,58,120,1
17,8,103,39,0
18,9,104,36,0
19,6,59,132,1
20,10,129,34,0
21,11,117,59,0
22,6,105,45,0
23,4,34,114,1
24,12,106,92,0
25,6,113,8,0
26,9,109,93,0
27,12,118,56,0
28,7,68,113,1
29,7,34,118,1
30,10,102,47,0
31,10,107,93,0
32,7,105,29,0
33,13,77,144,1
34,12,126,37,0
35,8,90,102,1
36,6,136,20,0
37,10,52,133,1
38,8,109,69,0
39,4,5,114,1
40,13,113,36,0
41,8,56,142,1
42,13,120,97,0
43,5,36,105,1
44,3,108,0,0
45,9,121,67,0
46,18,98,102,1
47,11,88,136,1
48,7,107,48,0
49,11,86,103,1
