Game,Rounds,P0 Score,P1 Score,Winner
0,5,27,101,1
1,10,21,152,1
2,5,13,121,1
3,11,58,102,1
4,10,54,142,1
5,6,121,50,0
6,10,122,56,0
7,6,63,117,1
8,7,109,26,0
9,10,58,137,1
10,12,103,45,0
11,8,52,119,1
12,13,150,70,0
13,7,102,70,0
14,11,71,104,1
15,15,107,81,0
16,11,83,111,1
17,10,18,134,1
18,5,101,16,0
19,5,131,0,0
20,9,105,81,0
21,7,104,7,0
22,9,77,108,1
23,11,117,83,0
24,9,76,110,1
25,10,47,109,1
26,9,107,85,0
27,7,102,40,0
28,10,92,156,1
29,12,56,110,1
30,4,8,127,1
31,11,128,86,0
32,12,112,83,0
33,13,100,74,0
34,14,104,90,0
35,5,137,0,0
36,7,101,42,0
37,6,34,143,1
38,6,8,110,1
39,9,103,57,0
40,8,105,50,0
41,11,123,85,0
42,7,31,134,1
43,9,118,66,0
44,7,100,47,0
45,7,104,58,0
46,5,0,111,1
47,13,122,69,0
48,15,118,95,0
49,9,69,111,1
