RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
5,TRUE,0,101,54,2,22,1,7
1,TRUE,0,105,0,1,56,1,7
9,TRUE,0,125,81,10,49,4,7
9,TRUE,1,72,113,31,8,6,3
5,TRUE,0,104,43,9,27,3,6
11,TRUE,0,114,54,1,48,1,7
6,TRUE,1,36,129,42,9,10,4
1,TRUE,1,0,121,63,6,10,3
11,TRUE,0,103,89,4,13,1,5
9,TRUE,1,76,119,44,6,10,2
8,TRUE,0,125,89,9,48,4,10
4,TRUE,1,15,101,66,10,10,4
11,TRUE,1,84,106,18,8,3,3
7,TRUE,1,53,120,65,9,10,4
6,TRUE,0,136,60,10,56,3,10
8,TRUE,1,40,137,55,7,7,3
11,TRUE,1,92,100,42,10,7,4
7,TRUE,0,134,42,5,50,3,10
10,TRUE,0,128,40,0,24,0,6
7,TRUE,1,56,114,59,1,10,1
9,TRUE,1,99,117,23,0,6,0
9,TRUE,1,81,100,35,8,6,4
4,TRUE,1,18,112,48,0,10,0
4,TRUE,1,0,104,19,10,6,4
6,TRUE,0,136,27,6,44,4,7
12,TRUE,0,101,65,10,25,4,7
7,TRUE,1,11,125,36,2,6,1
8,TRUE,1,1,136,64,10,10,4
6,TRUE,1,11,112,35,9,7,4
4,TRUE,0,104,31,9,38,3,7
10,TRUE,1,70,112,21,8,6,3
6,TRUE,1,76,161,70,7,10,3
9,TRUE,1,79,125,31,4,7,1
9,TRUE,0,127,47,10,41,4,7
7,TRUE,0,101,49,8,23,3,7
6,TRUE,1,7,123,35,1,6,1
4,TRUE,0,100,0,9,35,4,7
12,TRUE,0,102,71,7,14,4,4
5,TRUE,0,126,70,7,86,3,10
4,TRUE,1,0,124,36,6,7,2
9,TRUE,1,86,145,53,1,10,1
8,TRUE,0,114,97,0,27,0,7
6,TRUE,0,100,49,10,44,4,7
5,TRUE,1,26,118,68,8,10,3
9,TRUE,0,100,93,9,24,3,7
8,TRUE,1,96,117,46,10,10,4
7,TRUE,1,93,125,55,7,10,3
8,TRUE,1,61,105,18,7,4,3
6,TRUE,0,130,23,6,42,1,7
7,TRUE,0,123,67,4,35,3,7
8,TRUE,1,60,119,33,4,7,1
4,TRUE,1,7,118,43,2,10,1
6,TRUE,1,67,101,14,7,3,4
11,TRUE,1,83,108,45,9,10,4
7,TRUE,1,12,108,44,10,7,3
7,TRUE,0,103,63,0,31,0,7
10,TRUE,1,66,110,17,3,7,1
7,TRUE,0,104,50,9,32,3,7
2,TRUE,1,20,105,31,0,7,0
9,TRUE,1,31,121,37,7,6,3
4,TRUE,1,0,113,38,1,7,1
5,TRUE,0,109,90,9,45,3,7
6,TRUE,1,44,101,18,7,6,3
5,TRUE,1,33,138,68,1,10,1
6,TRUE,1,62,107,25,6,6,3
8,TRUE,1,45,103,56,8,7,3
6,TRUE,1,13,129,44,8,10,4
7,TRUE,0,102,71,9,21,2,6
10,TRUE,0,134,50,1,49,1,7
7,TRUE,1,93,110,55,4,7,1
7,TRUE,1,63,106,19,8,4,4
13,TRUE,0,113,88,7,23,4,7
9,TRUE,0,102,32,7,18,4,4
8,TRUE,1,64,109,19,3,4,1
6,TRUE,1,32,105,22,8,6,4
5,TRUE,0,104,57,10,42,4,7
9,TRUE,1,50,121,28,2,4,1
3,TRUE,1,45,101,48,3,7,1
6,TRUE,1,64,137,72,8,10,3
6,TRUE,0,102,52,9,30,3,7
7,TRUE,1,66,107,34,2,7,1
8,TRUE,0,113,33,1,32,1,7
4,TRUE,0,119,31,9,34,4,7
10,TRUE,1,93,114,23,5,6,3
4,TRUE,1,0,128,46,7,7,3
11,TRUE,0,110,88,9,38,3,7
7,TRUE,1,90,117,28,8,7,3
8,TRUE,0,109,16,7,17,1,4
5,TRUE,1,23,113,32,10,7,4
5,TRUE,1,42,133,56,7,10,3
8,TRUE,0,104,54,8,16,4,4
4,TRUE,1,6,102,14,10,4,4
11,TRUE,1,96,104,29,2,6,1
9,TRUE,0,101,46,7,23,3,4
3,TRUE,0,116,0,1,28,1,7
12,TRUE,1,73,132,40,1,7,1
10,TRUE,1,34,139,58,6,10,2
2,TRUE,1,9,111,67,8,10,3
5,TRUE,1,23,108,38,2,7,1
6,TRUE,0,113,79,0,15,0,3
6,TRUE,0,107,28,4,50,1,10
8,TRUE,1,97,101,33,5,7,3
7,TRUE,1,9,122,24,1,7,1
11,TRUE,0,109,99,6,17,3,3
8,TRUE,0,122,40,3,27,2,7
6,TRUE,1,97,110,27,3,7,2
7,TRUE,1,27,116,27,1,7,1
3,TRUE,1,0,107,38,8,10,3
