Player 1 Deadwood: ,,,,,,,,,,,,,,,,,,,,
55,57,58,28,13,13,13,13,6,6,,,,,,,,,,,
62,64,56,55,55,51,51,51,,,,,,,,,,,,,
53,53,23,22,15,15,15,4,4,,,,,,,,,,,,
52,23,23,23,23,23,21,21,21,21,,,,,,,,,,,
63,56,56,56,55,27,22,22,16,17,17,17,,,,,,,,,
36,32,9,9,,,,,,,,,,,,,,,,,
63,66,66,40,13,2,2,,,,,,,,,,,,,,
39,41,19,1,1,,,,,,,,,,,,,,,,
24,24,24,28,16,13,13,13,13,,,,,,,,,,,,
51,51,52,52,44,44,44,42,39,16,16,16,16,16,16,16,16,,,,
57,53,49,49,49,49,49,,,,,,,,,,,,,,
23,23,23,18,18,18,18,17,17,17,17,17,,,,,,,,,
51,51,49,50,24,24,24,24,,,,,,,,,,,,,
58,58,48,41,42,42,42,,,,,,,,,,,,,,
45,49,26,25,18,13,2,2,,,,,,,,,,,,,
43,45,46,43,41,41,41,,,,,,,,,,,,,,
73,76,67,40,40,38,40,33,29,24,17,17,12,15,15,15,,,,,
41,35,9,9,,,,,,,,,,,,,,,,,
53,50,24,21,3,3,,,,,,,,,,,,,,,
73,45,46,42,42,42,,,,,,,,,,,,,,,
36,28,28,4,4,,,,,,,,,,,,,,,,
53,53,23,23,17,12,10,10,,,,,,,,,,,,,
65,28,28,28,28,24,25,25,25,,,,,,,,,,,,
39,39,43,43,20,16,11,6,6,,,,,,,,,,,,
34,25,23,30,27,27,,,,,,,,,,,,,,,
39,40,40,37,37,37,,,,,,,,,,,,,,,
62,28,17,17,17,17,17,,,,,,,,,,,,,,
49,49,48,48,51,26,18,18,18,18,18,16,16,16,,,,,,,
60,30,30,22,19,19,6,6,,,,,,,,,,,,,
49,49,40,31,22,5,5,,,,,,,,,,,,,,
43,43,43,43,45,44,41,25,25,25,25,2,2,,,,,,,,
47,47,47,29,10,10,,,,,,,,,,,,,,,
69,70,40,42,42,34,14,16,16,16,16,16,,,,,,,,,
74,44,34,34,34,,,,,,,,,,,,,,,,
62,35,32,32,27,28,21,21,21,,,,,,,,,,,,
19,10,10,,,,,,,,,,,,,,,,,,
40,25,27,21,21,21,,,,,,,,,,,,,,,
39,36,36,14,14,12,0,,,,,,,,,,,,,,
45,43,43,43,17,15,10,10,,,,,,,,,,,,,
45,45,45,45,41,20,16,3,3,,,,,,,,,,,,
77,48,45,45,45,,,,,,,,,,,,,,,,
67,67,38,15,15,15,,,,,,,,,,,,,,,
32,32,32,32,26,26,26,,,,,,,,,,,,,,
47,46,46,20,20,14,14,14,,,,,,,,,,,,,
29,24,22,22,21,9,9,,,,,,,,,,,,,,
52,52,52,52,28,23,21,21,21,15,14,14,14,15,15,15,,,,,
49,43,45,16,14,14,14,,,,,,,,,,,,,,
67,67,39,32,32,12,7,7,,,,,,,,,,,,,
48,9,9,,,,,,,,,,,,,,,,,,
64,65,64,61,52,51,50,41,43,41,41,41,,,,,,,,,
42,36,36,38,35,34,10,10,,,,,,,,,,,,,
45,45,35,34,34,37,12,1,1,,,,,,,,,,,,
33,30,20,19,19,11,11,11,7,7,,,,,,,,,,,
60,54,51,48,48,48,,,,,,,,,,,,,,,
18,14,14,14,15,15,15,,,,,,,,,,,,,,
56,48,31,15,15,7,7,,,,,,,,,,,,,,
61,57,27,8,8,,,,,,,,,,,,,,,,
59,60,33,33,28,28,28,8,8,,,,,,,,,,,,
76,46,36,34,5,5,,,,,,,,,,,,,,,
16,16,16,9,9,,,,,,,,,,,,,,,,
45,45,46,46,50,13,13,8,8,,,,,,,,,,,,
61,49,46,39,38,38,38,38,,,,,,,,,,,,,
53,53,53,,,,,,,,,,,,,,,,,,
37,15,15,12,12,12,12,,,,,,,,,,,,,,
58,58,58,28,28,26,3,3,,,,,,,,,,,,,
60,60,63,57,56,56,56,,,,,,,,,,,,,,
36,36,35,30,30,25,25,16,16,16,,,,,,,,,,,
32,29,9,9,,,,,,,,,,,,,,,,,
31,25,25,12,12,9,9,,,,,,,,,,,,,,
35,27,26,26,2,2,,,,,,,,,,,,,,,
53,56,56,53,44,44,29,29,29,25,15,15,15,15,15,15,15,15,,,
69,69,72,42,32,32,31,29,26,26,26,23,8,8,,,,,,,
33,30,26,22,8,8,,,,,,,,,,,,,,,
45,44,43,40,14,11,13,13,1,1,,,,,,,,,,,
66,66,61,59,58,58,33,34,27,16,16,16,,,,,,,,,
43,43,44,44,44,37,37,37,,,,,,,,,,,,,
59,39,31,27,27,27,27,27,,,,,,,,,,,,,
46,47,48,27,26,27,2,2,,,,,,,,,,,,,
80,40,42,43,20,16,14,11,7,7,,,,,,,,,,,
22,22,22,19,14,14,14,12,3,3,,,,,,,,,,,
26,24,24,14,14,14,14,,,,,,,,,,,,,,
56,58,58,58,56,56,36,36,36,,,,,,,,,,,,
25,8,8,,,,,,,,,,,,,,,,,,
30,30,20,19,12,12,12,,,,,,,,,,,,,,
42,43,39,39,38,34,34,34,,,,,,,,,,,,,
23,19,19,14,14,14,12,12,12,,,,,,,,,,,,
18,19,13,2,2,,,,,,,,,,,,,,,,
35,26,24,26,19,18,18,18,18,,,,,,,,,,,,
56,56,26,22,16,16,16,5,5,,,,,,,,,,,,
67,40,40,40,40,27,19,14,12,12,12,14,14,14,3,3,,,,,
36,34,34,37,31,26,26,26,,,,,,,,,,,,,
64,34,24,20,21,16,16,17,17,17,17,17,17,,,,,,,,
14,14,8,8,,,,,,,,,,,,,,,,,
17,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,
50,50,50,50,33,11,11,11,,,,,,,,,,,,,
76,76,48,48,46,46,46,,,,,,,,,,,,,,
21,21,12,8,8,,,,,,,,,,,,,,,,
37,38,30,14,14,12,12,2,2,,,,,,,,,,,,
56,56,58,58,58,,,,,,,,,,,,,,,,
40,23,26,1,1,,,,,,,,,,,,,,,,
61,62,59,52,52,22,19,19,19,11,11,11,,,,,,,,,
39,39,42,42,42,,,,,,,,,,,,,,,,
72,50,24,14,4,4,,,,,,,,,,,,,,,
19,13,12,10,10,,,,,,,,,,,,,,,,
29,29,18,11,11,11,,,,,,,,,,,,,,,
34,25,25,15,16,16,18,18,18,,,,,,,,,,,,
60,60,58,51,51,45,28,24,10,10,,,,,,,,,,,
34,34,36,36,36,34,34,34,,,,,,,,,,,,,
44,41,18,0,,,,,,,,,,,,,,,,,
38,31,31,31,31,31,,,,,,,,,,,,,,,
63,60,60,32,29,25,25,25,,,,,,,,,,,,,
20,20,0,,,,,,,,,,,,,,,,,,
52,49,48,51,47,23,23,18,13,13,13,14,14,14,,,,,,,
17,18,18,24,17,8,8,,,,,,,,,,,,,,
66,62,56,50,24,19,16,6,6,,,,,,,,,,,,
58,58,58,60,60,60,,,,,,,,,,,,,,,
85,55,54,52,27,11,11,11,,,,,,,,,,,,,
71,41,39,38,34,30,28,10,10,,,,,,,,,,,,
38,38,31,31,31,13,9,9,,,,,,,,,,,,,
48,48,48,39,35,35,35,35,,,,,,,,,,,,,
32,36,18,13,13,1,1,,,,,,,,,,,,,,
14,14,9,9,,,,,,,,,,,,,,,,,
40,35,34,12,12,7,7,,,,,,,,,,,,,,
61,61,55,51,51,51,,,,,,,,,,,,,,,
57,54,53,53,47,47,47,,,,,,,,,,,,,,
45,47,20,18,15,15,15,8,8,,,,,,,,,,,,
67,67,44,34,34,32,28,28,28,,,,,,,,,,,,
42,40,36,16,13,9,9,,,,,,,,,,,,,,
18,18,18,18,18,18,18,,,,,,,,,,,,,,
54,57,53,26,28,10,10,,,,,,,,,,,,,,
41,40,39,39,37,37,30,30,30,,,,,,,,,,,,
39,39,42,40,40,39,39,38,25,4,4,,,,,,,,,,
35,35,10,10,,,,,,,,,,,,,,,,,
64,55,55,53,56,56,44,44,44,,,,,,,,,,,,
42,39,39,38,37,41,43,43,43,,,,,,,,,,,,
32,9,9,,,,,,,,,,,,,,,,,,
44,44,40,17,15,2,2,,,,,,,,,,,,,,
63,63,63,39,36,34,34,28,28,20,20,20,20,,,,,,,,
71,41,38,33,27,27,27,21,11,8,8,,,,,,,,,,
