Game,Rounds,P0 Score,P1 Score,Winner
0,10,42,123,1
1,7,140,40,0
2,6,102,55,0
3,6,40,100,1
4,4,125,41,0
5,9,109,53,0
6,7,113,61,0
7,10,74,109,1
8,5,120,0,0
9,6,70,110,1
10,9,132,57,0
11,5,15,103,1
12,8,116,90,0
13,7,134,70,0
14,8,55,101,1
15,7,122,76,0
16,5,131,12,0
17,10,55,104,1
18,8,111,40,0
19,8,100,46,0
