Game,Rounds,P0 Score,P1 Score,Winner
0,8,100,71,0
1,8,79,102,1
2,6,103,87,0
3,7,52,134,1
4,6,101,53,0
5,7,103,50,0
6,10,116,79,0
7,8,82,122,1
8,7,111,16,0
9,10,74,108,1
10,9,127,43,0
11,12,98,102,1
12,9,111,84,0
13,7,94,100,1
14,10,114,71,0
15,4,13,100,1
16,4,101,0,0
17,10,101,71,0
18,12,94,111,1
19,8,114,81,0
