Player 1 Deadwood: 
57,49,41,41,41,23,6,6
58,58,28,23,23,23,22,22,22,22
59,47,47,25,23,4,4
66,57,56,51,51,51,44,19,19,19,19,19,19,19,19,19,19
31,31,29,26,26,20,20,20,10,10
41,39,31,31,31
34,32,32,32,25,22,16,16,16,16,16
53,29,29,21,21,19,19,16,16,10,10
47,47,47,46,44,21,19,19,19
61,34,13,9,9
38,38,18,18,12,12,7,7
61,31,26,26,25,19,19,19,19,19,19,19
23,23,23,7,7
69,39,34,34,34,30,13,13,1,1
53,51,50,50,50
49,40,39,39,33,31,28,19,19,19
50,24,20,17,8,8
54,54,54,54,54
63,63,58,52,52,28,28,13,8,8
41,41,35,19,11,11,11,11
56,56,49,43,18,17,17,13,13,13
47,38,31,31,31
39,35,35,35,35,27,23,23,23,23
34,33,29,27,21,21,21,21
39,39,39
64,46,46,20,20,20
59,59,58,58,58,35,27,20,20,20
64,61,56,48,34,12,12,12,12,12
70,62,58,35,30,30,22,10,10
36,36,35,21,15,7,7
43,33,29,29,23,23,5,5
48,39,39,10,10
41,34,19,11,9,9
44,41,41,40,38,38,38,30,16,16,16,16,16,16,14,3,3
60,45,45,45,38,17,17,14,10,10
73,46,46,18,18,13,8,8
44,40,34,29,24,24,20,20,7,7
61,61,52,52,27,27,27
59,53,53,45,45,45
66,64,57,33,30,30,30
73,43,43,22,21,13,13,7,7
48,48,25,25,21,16,16,16,16,16,16,16
61,61,61,61,57,57,53,48,26,20,20,20,20
69,61,60,34,15,15,15
63,63,56,39,38,31,27,27,27
35,35,32,32,11,11,9,9
11,11,10,10
75,67,37,37,29,23,17,17,17
42,37,30,25,25,18,18,18,18
57,57,55,55,55
62,61,61,61
56,26,26,9,9
56,30,26,17,17,10,10
65,35,35,35,28,10,10
55,55,25,24,23,21,21,21
48,38,35,35,35,30,26,26,26
50,21,14,13,13,13,10,10
44,16,16,16,16,16,12,12,12,12,12
40,35,35,35,35,17,17,11,6,6
46,28,17,17,17
40,32,14,14,3,3
58,57,56,31,31,28,23,23,23,23
43,33,14,10,10
33,33,17,17,17,17,15,15,15,15,15
2,2
1,1
40,17,17
24,24,23,23,22,22,22
42,42,36,26,23,23,23,23,22,8,8
62,59,59,59,59,59,31,31,31,31
25,25,25,25
67,67,67,51,42,42,42,42
28,28,28,28,27,27,18,8,8
59,45,45,42,20,20,20
50,46,37,30,30,30,24,16,2,2
60,40,40,22,16,9,9
57,57,57,51,50,44,44,23,23,23,23,23,23
33,33,27,27,27,10,10
59,59,31,24,19,19,19,14,14,14,14
46,46,41,41,37,23,23,4,4
10,10
53,53,33,31,31,31
47,24,21,14,14,11,11,11,11
48,48,48,48,40,20,20,20,20
46,45,41,41,41,41
28,28,28
23,23,22,18,18,13,6,6
48,48,48,48,20,18,18,2,2
