RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
10,true,0,102,71,7,14,4,4
6,true,1,65,117,54,10,10,4
7,true,1,15,108,20,4,4,3
10,true,0,105,14,7,16,4,4
6,true,1,26,107,15,5,4,3
6,true,1,86,138,61,10,10,4
7,true,0,108,39,6,20,2,7
6,true,0,161,37,1,68,1,10
5,true,1,4,137,42,1,7,1
8,true,0,129,31,10,65,4,10
9,true,0,129,91,8,63,4,10
6,true,1,0,111,20,7,4,2
7,true,1,45,114,44,10,7,3
9,true,0,101,36,3,21,1,4
9,true,1,82,111,24,10,7,4
11,true,1,87,105,43,9,7,4
7,true,0,156,65,7,73,4,10
4,true,0,111,5,5,37,3,7
7,true,0,100,74,2,18,1,7
8,true,1,17,105,30,3,7,1
