RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
9,true,0,105,58,9,31,4,6
8,true,1,25,104,20,1,4,1
3,true,0,132,23,0,50,0,10
3,true,1,0,163,44,0,10,0
11,true,0,112,93,4,28,2,7
6,true,0,104,35,3,17,1,3
8,true,1,76,135,70,9,10,4
2,true,1,27,131,39,3,7,1
12,true,1,70,124,35,4,7,1
9,true,0,100,91,10,43,4,7
5,true,0,108,14,10,51,4,10
5,true,1,94,118,66,4,10,1
9,true,1,64,115,30,9,7,4
2,true,1,3,123,67,2,10,1
6,true,0,126,43,10,63,3,10
4,true,1,0,111,33,7,7,3
10,true,0,144,83,2,70,1,10
7,true,1,7,119,26,3,7,1
8,true,1,89,102,28,10,4,4
8,true,1,25,108,17,8,2,4
4,true,0,107,11,10,59,3,10
5,true,0,100,22,9,48,4,10
9,true,1,56,118,37,9,7,4
2,true,1,0,114,42,6,10,3
6,true,1,99,104,35,10,7,3
6,true,1,40,107,21,9,3,3
5,true,0,155,46,2,64,1,10
3,true,1,0,109,44,2,7,1
11,true,1,87,100,15,4,4,1
3,true,1,31,113,48,7,10,4
2,true,0,106,0,7,48,4,7
7,true,0,113,60,9,31,3,7
5,true,1,8,109,13,2,5,2
11,true,1,93,101,14,9,4,3
9,true,0,140,71,5,53,2,7
3,true,1,46,105,39,0,7,0
8,true,0,125,50,10,45,4,7
3,true,0,100,24,10,26,2,7
7,true,1,94,119,36,9,7,4
7,true,1,97,101,36,4,6,3
6,true,1,94,112,23,1,4,1
3,true,0,118,13,3,35,2,7
9,true,1,85,117,28,7,4,3
4,true,1,8,111,43,9,7,4
6,true,1,63,102,34,9,7,3
2,true,0,102,0,6,25,4,4
4,true,1,31,126,61,8,10,2
4,true,0,106,43,2,26,2,7
8,true,0,101,54,4,15,3,4
5,true,0,106,46,9,41,1,10
3,true,0,105,13,8,47,4,7
6,true,1,68,115,29,8,7,3
5,true,0,120,90,7,40,3,7
2,true,1,0,109,17,0,3,0
7,true,0,102,72,10,18,2,4
3,true,1,32,116,27,0,7,0
9,true,0,110,73,10,56,4,10
8,true,0,115,90,0,21,0,4
2,true,0,112,0,8,26,4,4
3,true,1,0,118,43,5,7,1
6,true,1,37,109,49,8,6,4
6,true,1,55,113,33,9,6,4
4,true,1,0,143,76,7,10,3
5,true,1,83,104,27,9,7,3
4,true,1,13,130,35,4,6,2
6,true,0,105,54,9,56,3,10
6,true,0,117,62,4,26,1,4
4,true,0,105,77,2,42,1,7
3,true,0,117,53,0,55,0,10
7,true,0,149,90,4,57,1,10
3,true,1,16,108,50,6,7,3
5,true,0,104,47,5,13,2,4
6,true,1,51,120,53,5,10,2
6,true,1,16,116,26,1,3,1
7,true,0,129,60,10,49,4,10
4,true,0,107,10,7,36,4,7
8,true,0,111,81,8,28,4,7
7,true,1,80,129,48,9,7,4
9,true,1,98,109,59,5,10,2
4,true,1,34,101,38,8,7,3
8,true,0,111,88,2,34,1,7
7,true,0,129,45,5,35,1,7
7,true,0,122,85,8,49,4,10
4,true,0,111,13,8,61,3,10
6,true,0,113,32,10,54,4,10
7,true,0,124,35,0,25,0,7
8,true,1,17,102,16,9,4,3
7,true,0,126,24,8,42,4,7
5,true,1,53,101,58,3,10,2
6,true,0,126,80,5,32,3,7
6,true,1,60,119,46,6,10,2
8,true,1,50,110,21,7,4,2
9,true,0,127,92,1,31,1,6
4,true,0,134,33,3,65,1,10
6,true,1,62,100,23,10,4,4
7,true,1,66,116,32,4,7,1
4,true,1,0,159,51,0,7,0
6,true,0,120,53,8,57,4,10
7,true,0,103,87,3,39,1,7
7,true,0,104,79,9,15,4,3
6,true,0,127,67,0,29,0,6
9,true,1,83,104,24,9,7,3
9,true,1,35,116,38,3,7,1
10,true,0,103,35,9,19,4,4
5,true,1,25,141,44,1,7,1
6,true,0,106,40,5,22,2,7
8,true,1,32,125,36,3,4,1
7,true,0,113,71,4,19,1,4
4,true,1,28,102,20,5,6,3
6,true,1,48,105,21,9,3,4
5,true,0,129,52,4,77,3,10
8,true,1,56,101,21,5,6,1
6,true,1,10,108,15,5,3,1
4,true,1,30,103,33,7,7,3
8,true,1,84,117,40,3,7,1
5,true,1,82,102,55,8,10,4
9,true,1,72,136,62,3,10,2
5,true,1,5,104,43,7,10,3
4,true,1,0,107,40,8,7,2
9,true,0,121,91,1,48,1,7
5,true,0,119,46,10,81,3,10
5,true,0,135,79,0,15,0,6
6,true,1,38,118,29,10,5,3
8,true,0,103,49,3,13,1,4
5,true,0,101,39,2,12,1,4
6,true,0,107,51,9,43,4,7
6,true,0,107,92,10,49,1,10
4,true,0,134,44,9,70,3,10
2,true,1,0,113,23,0,4,0
5,true,1,27,112,23,8,3,3
6,true,1,8,104,17,9,3,3
2,true,0,111,0,1,57,1,10
10,true,1,42,118,34,8,4,3
5,true,0,114,28,2,45,1,7
4,true,1,80,102,21,10,4,4
7,true,1,56,100,28,6,6,3
9,true,1,86,137,59,0,10,0
5,true,1,19,113,45,6,10,2
8,true,0,122,48,7,49,3,7
8,true,1,54,125,33,7,4,3
9,true,0,103,73,7,14,3,3
4,true,1,25,101,58,6,7,4
2,true,0,125,0,0,21,0,7
10,true,0,101,85,4,30,1,7
6,true,0,114,42,0,22,0,7
4,true,1,25,107,31,1,6,1
5,true,1,41,106,28,8,6,4
6,true,1,20,102,27,6,7,3
2,true,1,0,158,39,0,7,0
8,true,1,82,111,57,6,10,3
6,true,1,68,125,57,1,10,1
6,true,1,65,112,29,6,7,2
5,true,1,9,102,12,9,3,1
6,true,1,42,101,46,7,7,3
4,true,1,39,110,40,7,6,4
4,true,0,113,23,1,17,1,4
10,true,0,131,86,1,48,1,10
7,true,0,104,33,9,39,3,7
7,true,1,66,125,69,4,10,3
6,true,1,84,106,30,1,6,1
3,true,1,0,106,41,9,7,4
5,true,0,104,72,2,27,1,7
6,true,0,129,46,7,38,4,7
11,true,1,76,111,30,8,6,3
3,true,0,130,16,6,46,2,10
3,true,0,150,17,4,63,1,10
7,true,0,124,91,9,66,4,10
8,true,0,111,55,10,34,3,7
8,true,1,86,119,41,9,7,4
7,true,1,78,114,22,5,6,3
9,true,1,99,128,20,0,5,0
8,true,1,80,137,46,8,7,3
4,true,0,107,18,6,32,4,7
7,true,0,102,70,4,35,1,4
5,true,0,108,43,1,47,1,10
6,true,1,67,104,63,8,10,3
8,true,0,113,80,1,41,1,7
2,true,1,0,103,14,1,3,1
7,true,0,103,63,5,42,2,7
4,true,0,110,21,0,41,0,7
5,true,1,76,116,32,0,7,0
8,true,1,87,133,52,8,7,4
9,true,1,84,111,31,8,7,3
4,true,0,120,20,9,69,4,10
3,true,0,108,14,2,55,1,10
5,true,0,124,37,3,30,1,7
8,true,1,85,104,34,3,4,1
6,true,1,69,102,39,9,6,4
5,true,1,22,122,50,5,7,2
6,true,1,15,127,39,7,7,4
8,true,0,122,33,5,41,1,7
4,true,0,104,16,2,11,1,4
8,true,0,125,59,4,47,1,7
8,true,0,154,66,0,46,0,10
7,true,0,111,74,0,12,0,4
8,true,0,106,41,10,46,1,7
4,true,0,128,17,0,15,0,4
6,true,0,138,96,9,50,4,10
3,true,1,10,135,40,1,7,1
3,true,1,0,101,15,6,4,4
6,true,1,20,100,22,3,4,1
6,true,1,50,111,36,7,6,3
5,true,0,115,57,5,55,3,10
8,true,1,91,108,39,10,7,3
9,true,0,111,90,6,27,1,7
8,true,0,104,68,7,18,3,4
5,true,0,125,56,0,34,0,7
10,true,0,112,74,8,51,1,10
7,true,0,140,59,0,24,0,7
4,true,0,133,17,8,46,3,7
2,true,0,129,18,6,54,3,7
8,true,0,129,17,5,40,3,7
7,true,1,75,137,68,9,10,4
6,true,1,73,114,15,0,6,0
6,true,1,29,111,26,5,6,1
5,true,0,110,53,4,39,1,7
2,true,1,0,134,59,6,7,3
6,true,1,9,127,53,10,7,3
4,true,0,149,12,9,69,4,10
6,true,1,69,138,65,5,10,2
3,true,1,0,112,31,6,7,2
6,true,0,106,63,2,41,1,7
9,true,1,45,115,35,8,7,3
5,true,0,123,41,2,30,1,7
9,true,0,119,88,9,30,3,7
3,true,0,122,33,6,42,3,7
7,true,0,104,99,8,61,2,10
9,true,0,124,66,3,46,1,7
5,true,0,118,28,4,64,2,10
6,true,0,112,76,10,33,3,4
9,true,1,67,103,38,8,7,4
5,true,1,48,159,49,0,10,0
5,true,0,136,14,0,33,0,7
5,true,1,3,101,37,6,7,2
2,true,0,130,0,9,54,4,10
5,true,1,55,137,49,9,7,4
8,true,1,8,103,11,7,3,4
8,true,1,76,100,23,6,4,3
5,true,1,26,108,23,6,6,2
8,true,1,70,149,58,3,10,1
7,true,0,114,99,1,20,1,7
3,true,1,10,110,36,9,7,3
5,true,1,23,101,49,2,10,1
2,true,0,106,0,3,52,1,7
7,true,1,33,118,67,10,10,3
5,true,0,124,36,5,33,2,7
6,true,0,121,43,9,46,4,7
6,true,1,21,107,12,4,5,1
9,true,1,64,106,32,6,7,3
8,true,0,128,74,9,41,4,7
8,true,0,134,92,8,44,3,7
2,true,0,118,0,10,29,3,7
5,true,0,125,41,9,53,3,10
2,true,0,103,0,6,39,3,7
6,true,0,106,62,9,31,4,6
6,true,0,100,80,6,16,3,3
7,true,1,64,104,13,4,2,1
5,true,0,135,48,7,68,3,10
3,true,1,42,102,59,8,10,3
4,true,1,36,134,31,0,7,0
5,true,1,6,100,41,8,7,4
8,true,0,104,79,10,45,4,10
9,true,1,34,108,14,5,4,2
8,true,0,113,73,10,71,4,10
5,true,1,44,132,26,0,7,0
6,true,1,21,103,23,1,4,1
6,true,1,32,130,45,9,10,2
8,true,1,75,133,37,2,7,1
6,true,0,102,88,0,17,0,3
6,true,0,103,87,10,24,4,6
9,true,1,82,119,32,8,6,4
7,true,1,54,120,61,2,10,1
6,true,0,107,43,8,37,3,7
4,true,1,0,110,21,5,4,1
8,true,1,47,114,50,10,7,4
10,true,0,102,82,7,19,3,6
3,true,1,0,104,45,5,6,3
