RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
8,true,1,82,104,39,9,7,3
7,true,0,118,39,10,29,3,7
11,true,1,72,110,23,10,6,4
6,true,0,114,60,10,44,4,7
11,true,0,106,70,9,26,4,7
10,true,1,36,126,59,9,10,4
3,true,1,0,125,34,4,7,3
7,true,1,20,148,57,5,10,1
10,true,0,114,86,8,27,3,7
12,true,1,84,101,34,5,7,1
7,true,0,100,22,8,43,4,7
15,true,1,99,108,44,10,10,4
5,true,0,108,35,0,22,0,7
4,true,1,3,121,83,9,10,4
8,true,1,39,103,26,4,7,1
4,true,0,109,15,8,69,3,10
13,true,1,97,100,31,9,7,4
8,true,1,47,103,22,1,6,1
10,true,0,102,53,4,25,3,6
5,true,0,112,17,10,32,3,6
9,true,1,30,136,14,0,6,0
6,true,0,103,56,0,30,0,7
9,true,0,124,61,1,37,1,7
10,true,0,100,32,10,30,4,7
2,true,0,102,0,10,43,4,7
5,true,0,109,12,9,30,4,7
6,true,1,37,103,21,8,7,3
10,true,1,97,103,28,4,7,1
10,true,1,86,108,22,1,7,1
9,true,0,114,92,9,62,4,10
9,true,0,145,56,10,59,3,10
7,true,0,101,31,6,16,4,4
13,true,0,132,76,0,16,0,4
6,true,0,112,40,10,30,4,7
8,true,1,42,109,18,2,6,1
7,true,1,43,125,43,2,7,1
9,true,1,68,112,21,7,7,3
4,true,1,40,109,21,9,6,3
9,true,1,41,109,24,4,4,3
12,true,0,102,87,6,25,2,7
8,true,0,122,35,10,42,3,10
2,true,0,111,0,4,77,1,10
6,true,1,59,106,23,1,6,1
12,true,1,93,111,27,8,7,4
7,true,0,143,33,7,59,2,10
6,true,0,122,40,10,36,4,7
10,true,0,123,85,9,36,3,7
14,true,1,94,113,27,8,7,4
8,true,0,107,61,7,23,3,7
6,true,0,101,22,8,21,4,6
