Game,Rounds,P0 Score,P1 Score,Winner
0,13,49,134,1
1,11,100,99,0
2,14,104,68,0
3,6,102,30,0
4,10,103,52,0
5,9,87,114,1
6,12,106,61,0
7,10,106,81,0
8,6,129,34,0
9,6,32,112,1
10,10,103,84,0
11,7,7,101,1
12,11,94,111,1
13,5,26,129,1
14,11,108,61,0
15,9,103,38,0
16,12,74,100,1
17,10,73,121,1
18,7,67,103,1
19,11,111,52,0
20,12,103,98,0
21,12,122,52,0
22,7,103,11,0
23,8,112,46,0
24,12,91,105,1
25,9,64,117,1
26,16,75,143,1
27,9,104,45,0
28,11,95,109,1
29,12,109,64,0
30,11,108,50,0
31,11,76,110,1
32,13,87,148,1
33,14,118,72,0
34,9,103,90,0
35,7,116,46,0
36,14,105,88,0
37,10,72,118,1
38,11,108,71,0
39,9,30,123,1
40,13,99,126,1
41,12,58,104,1
42,8,125,17,0
43,7,52,108,1
44,8,32,104,1
45,6,48,125,1
46,8,67,164,1
47,13,97,105,1
48,7,57,114,1
49,5,6,100,1
