Game,Rounds,P0 Score,P1 Score,Winner
0,9,108,60,0
1,6,120,41,0
2,10,55,117,1
3,12,105,76,0
4,12,110,54,0
5,13,81,100,1
6,6,71,134,1
7,10,41,134,1
8,12,74,105,1
9,13,118,98,0
10,12,24,107,1
11,8,50,111,1
12,12,112,61,0
13,11,32,129,1
14,7,50,110,1
15,14,106,94,0
16,10,108,46,0
17,9,75,127,1
18,9,112,50,0
19,11,106,67,0
20,5,8,108,1
21,11,41,110,1
22,4,107,13,0
23,14,109,97,0
24,13,133,93,0
25,9,111,7,0
26,13,108,93,0
27,13,100,66,0
28,8,100,4,0
29,9,54,107,1
30,5,102,13,0
31,10,93,104,1
32,9,103,81,0
33,9,115,64,0
34,5,113,0,0
35,9,126,79,0
36,9,119,24,0
37,8,13,133,1
38,10,69,105,1
39,13,117,90,0
40,13,112,77,0
41,10,113,24,0
42,11,126,79,0
43,9,114,32,0
44,5,113,0,0
45,9,112,36,0
46,17,61,100,1
47,10,113,35,0
48,3,0,109,1
49,11,91,126,1
