Game,Rounds,P0 Score,P1 Score,Winner
0,7,68,102,1
1,7,171,47,0
2,9,112,69,0
3,8,102,43,0
4,6,112,71,0
5,8,108,48,0
6,6,115,24,0
7,4,0,105,1
8,5,103,30,0
9,5,48,106,1
10,3,0,102,1
11,7,88,149,1
12,12,120,93,0
13,5,53,133,1
14,9,115,72,0
15,6,25,121,1
16,5,113,33,0
17,10,57,140,1
18,5,112,21,0
19,10,132,66,0
20,6,22,101,1
21,6,8,115,1
22,8,60,104,1
23,9,42,108,1
24,10,105,52,0
,,,MCTS,12
