Game,Rounds,P0 Score,P1 Score,Winner
0,7,39,100,1
1,6,39,122,1
2,6,110,0,0
3,6,48,127,1
4,8,69,113,1
5,7,153,20,0
6,13,124,73,0
7,6,23,118,1
8,9,45,108,1
9,8,36,103,1
10,5,104,11,0
11,6,7,118,1
12,8,111,99,0
13,5,106,91,0
14,9,87,121,1
15,6,61,108,1
16,6,81,108,1
17,12,115,63,0
18,13,103,77,0
19,4,0,117,1
20,9,36,117,1
21,7,62,102,1
22,7,117,74,0
23,11,123,65,0
24,5,105,0,0
,,,basic,14
,,,MCTS,10
