RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
11,true,0,128,28,8,37,3,7
3,true,0,100,0,8,58,3,10
6,true,0,106,34,9,73,4,10
10,true,0,126,87,6,46,3,10
6,true,0,103,11,10,43,3,7
3,true,1,33,103,25,7,7,4
4,true,0,109,22,10,48,3,10
10,true,0,119,52,4,25,1,4
9,true,0,140,41,0,30,0,6
9,true,1,62,102,38,6,7,3
8,true,1,93,110,49,8,7,4
8,true,1,56,100,40,8,10,4
12,true,0,136,62,6,61,4,10
9,true,1,89,121,48,4,10,1
3,true,0,104,6,8,55,1,10
8,true,1,64,137,56,10,10,3
7,true,0,110,75,4,17,3,6
5,true,0,107,54,10,63,2,10
9,true,0,109,71,1,19,1,6
11,true,0,106,79,8,37,3,7
