RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
9,true,0,124,33,8,35,3,10
10,true,0,168,57,4,80,3,10
9,true,0,102,52,8,30,4,7
7,true,0,124,34,1,26,1,6
4,true,1,20,110,58,10,10,5
13,true,1,54,100,13,9,4,4
10,true,1,46,101,22,6,7,2
6,true,1,21,106,29,9,5,3
8,true,1,34,103,58,9,10,3
10,true,0,105,96,4,36,1,7
9,true,0,115,90,9,26,4,7
8,true,0,122,93,3,41,1,7
3,true,1,0,111,24,1,5,1
8,true,0,109,31,8,25,4,4
10,true,0,100,52,7,14,4,4
6,true,0,114,34,7,47,3,7
5,true,1,13,106,19,1,7,1
13,true,1,96,152,65,8,10,3
9,true,1,37,108,28,9,7,3
12,true,1,66,106,35,3,7,1
6,true,1,36,103,23,6,4,3
11,true,0,121,90,3,31,1,7
9,true,0,158,41,9,70,4,10
8,true,1,66,117,25,2,7,1
6,true,0,105,46,6,15,3,5
9,true,1,14,124,36,8,7,4
7,true,0,115,55,9,49,3,7
10,true,0,103,73,9,18,3,4
10,true,0,127,55,7,57,3,7
5,true,1,18,101,11,6,4,4
7,true,0,143,15,4,48,1,10
11,true,0,110,95,6,19,3,7
9,true,1,52,134,11,0,4,0
6,true,0,135,14,9,75,3,10
7,true,1,25,100,22,8,7,3
10,true,1,39,107,29,5,7,1
7,true,0,127,36,9,41,3,10
7,true,0,118,69,7,33,3,7
12,true,0,126,57,9,41,4,7
4,true,0,108,26,4,15,3,6
6,true,1,25,113,52,9,10,3
8,true,0,104,53,9,48,3,10
9,true,0,109,61,10,30,3,7
10,true,0,138,68,2,59,1,10
7,true,0,118,15,0,17,0,3
6,true,0,123,77,2,52,1,10
10,true,0,115,92,10,27,4,5
16,true,1,94,107,21,10,7,3
4,true,0,117,28,9,43,3,10
8,true,1,60,105,30,1,7,1
6,true,0,101,26,5,31,1,7
11,true,0,112,79,9,32,4,7
9,true,1,57,110,24,10,7,3
9,true,0,105,41,9,30,3,6
8,true,0,130,25,7,43,2,7
6,true,0,107,47,2,23,1,7
13,true,0,108,87,9,18,4,4
8,true,0,120,20,10,49,4,7
6,true,0,113,66,1,43,1,10
12,true,1,87,104,25,6,7,1
14,true,0,113,98,3,27,1,7
12,true,0,101,67,9,15,4,4
3,true,0,123,7,10,43,4,6
15,true,0,101,95,9,13,4,4
8,true,1,57,105,17,7,4,3
4,true,0,105,27,3,15,1,4
5,true,1,12,126,34,7,7,4
6,true,0,118,78,8,77,4,10
6,true,1,34,103,42,9,7,4
5,true,0,101,50,9,11,3,3
8,true,1,59,106,12,1,4,1
6,true,0,125,15,10,64,4,10
6,true,1,46,116,40,8,7,4
4,true,0,111,7,9,24,4,7
19,true,0,102,96,9,26,5,7
4,true,0,103,27,6,35,3,7
3,true,0,103,5,5,29,2,7
6,true,1,29,107,15,2,6,1
8,true,1,35,106,21,8,7,4
8,true,0,109,26,7,18,4,7
4,true,0,141,9,10,79,4,10
9,true,1,48,136,44,6,10,2
16,true,0,100,92,9,22,4,6
3,true,0,106,21,10,30,3,7
13,true,1,91,116,38,10,7,4
7,true,0,111,24,4,19,1,4
6,true,1,16,119,61,6,10,3
12,true,1,83,139,62,5,10,1
9,true,1,85,105,31,9,7,3
11,true,0,137,88,8,66,3,10
5,true,1,50,134,50,8,10,4
10,true,0,146,43,8,66,4,10
14,true,1,95,107,26,2,6,1
7,true,0,108,19,9,19,3,6
4,true,1,8,103,22,9,7,5
14,true,1,93,104,25,5,4,2
7,true,0,107,28,9,32,2,7
9,true,1,81,114,16,0,3,0
10,true,0,114,61,7,46,3,7
3,true,0,114,3,0,26,0,7
