RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
7,true,1,52,101,30,7,7,3
9,true,1,40,105,21,10,7,3
7,true,1,31,137,14,0,3,0
8,true,0,119,54,9,37,4,7
7,true,1,93,103,50,7,10,4
5,true,1,53,102,16,7,4,4
10,true,1,90,102,13,10,4,4
8,true,1,72,102,36,8,7,3
6,true,0,107,71,9,31,3,7
6,true,0,111,32,1,15,1,4
12,true,1,85,101,19,10,7,4
10,true,1,71,100,30,1,7,1
10,true,0,103,28,1,15,1,6
14,true,0,128,92,6,48,1,10
12,true,1,82,111,27,7,7,2
12,true,0,119,91,4,44,2,10
8,true,1,61,108,34,10,7,3
10,true,0,109,92,8,50,3,7
9,true,1,60,114,33,8,7,3
5,true,0,116,0,0,21,0,6
3,true,0,108,0,3,23,1,4
8,true,1,67,104,46,3,10,1
12,true,0,104,88,8,25,3,7
10,true,0,110,81,10,42,2,10
5,true,1,0,101,35,10,10,3
10,true,1,92,104,30,8,7,1
6,true,1,64,118,31,9,7,4
6,true,1,59,114,25,9,7,4
6,true,0,124,37,8,55,4,10
11,true,0,106,77,7,20,3,7
6,true,0,127,32,6,39,4,10
6,true,0,109,50,7,17,3,4
7,true,1,54,101,29,9,7,4
7,true,1,0,110,17,5,4,3
4,true,1,0,106,23,10,4,4
14,true,0,126,59,9,40,4,7
4,true,0,122,22,10,38,3,6
7,true,1,63,109,22,3,6,1
11,true,0,105,91,10,16,4,4
6,true,0,105,34,6,40,3,7
5,true,0,112,50,3,33,1,7
13,true,1,95,131,42,10,7,3
11,true,0,101,94,7,18,3,7
12,true,1,62,110,25,9,6,3
9,true,1,44,113,29,9,7,4
8,true,1,83,100,25,0,4,0
10,true,0,100,68,7,17,3,4
6,true,0,105,35,7,26,4,7
2,true,0,108,0,8,25,4,6
3,true,1,0,115,49,8,10,4
