RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
8,true,1,16,109,39,7,7,3
5,true,1,91,105,41,3,7,1
3,true,1,0,104,14,9,4,4
11,true,1,70,104,11,1,4,1
12,true,0,101,84,9,26,2,7
6,true,0,128,19,8,42,4,7
16,true,0,142,71,10,60,3,10
6,true,0,103,13,6,14,4,4
12,true,0,110,66,9,22,4,6
8,true,0,105,49,10,26,3,7
4,true,0,102,9,8,11,4,4
5,true,1,25,102,45,10,7,4
5,true,0,102,70,7,31,3,4
6,true,0,117,49,5,28,3,7
12,true,0,109,70,8,32,4,7
9,true,0,108,59,5,23,3,7
5,true,0,121,30,6,40,3,7
4,true,1,58,104,13,7,4,4
6,true,0,116,26,10,45,3,7
1,true,0,110,0,9,65,4,10
11,true,0,106,30,7,19,3,7
9,true,1,69,102,15,7,6,3
5,true,1,28,111,30,4,7,3
2,true,0,131,0,8,41,1,7
8,true,1,43,105,43,5,10,1
12,true,1,31,108,21,9,4,2
8,true,0,147,89,8,62,4,10
16,true,1,79,160,69,6,10,1
4,true,0,127,24,1,35,1,7
5,true,1,51,137,45,0,7,0
12,true,1,46,118,38,9,10,3
8,true,1,35,110,45,9,7,3
4,true,0,120,27,6,44,3,10
11,true,1,55,103,19,5,6,1
7,true,1,68,114,28,4,7,2
12,true,1,70,104,17,10,4,4
5,true,0,113,24,10,62,4,10
10,true,0,101,51,10,13,4,4
7,true,1,4,105,31,9,10,4
10,true,0,120,47,8,32,3,7
4,true,0,101,42,0,30,0,7
5,true,1,3,113,27,3,6,1
9,true,1,73,130,48,7,7,4
7,true,1,67,105,35,8,7,3
11,true,0,109,91,1,20,1,7
14,true,1,93,137,47,5,10,2
5,true,1,44,122,30,4,6,1
7,true,1,57,100,22,0,6,0
7,true,0,108,44,1,21,1,7
11,true,1,71,120,30,9,7,4
