GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
16,0,1,0,9,16,7,4,3,false
16,1,1,0,12,12,9,3,4,false
16,2,0,20,12,10,30,4,7,false
16,3,0,41,12,9,30,3,4,false
16,4,0,53,12,1,13,1,4,false
16,5,0,100,12,10,57,3,10,true
17,0,Null,0,0,75,84,10,11,false
17,0,0,15,0,10,25,4,4,false
17,1,0,18,0,8,11,3,4,false
17,2,0,21,0,10,13,4,4,false
17,3,1,21,9,18,9,4,3,false
17,4,0,47,9,7,33,4,7,false
17,5,1,47,17,15,7,6,4,false
17,6,0,53,17,7,13,4,4,false
17,7,1,53,42,32,7,7,3,false
17,8,0,55,42,9,11,4,3,false
17,9,0,63,42,9,17,3,4,false
17,10,0,67,42,8,12,3,4,false
17,11,1,67,59,27,10,7,3,false
17,12,1,67,67,18,10,4,3,false
17,13,1,67,90,33,10,6,4,false
17,14,1,67,106,17,1,6,1,true
18,0,Null,0,0,60,73,10,11,false
18,0,1,0,10,19,9,4,3,false
18,1,1,0,32,28,6,7,4,false
18,2,0,4,32,10,14,4,4,false
18,3,1,4,36,14,10,4,4,false
18,4,1,4,43,16,9,4,4,false
18,5,0,16,43,4,16,1,4,false
18,6,0,49,43,7,40,3,7,false
18,7,1,49,65,30,8,7,2,false
18,8,0,68,65,10,29,2,7,false
18,9,1,68,90,28,3,7,1,false
18,10,1,68,102,13,1,3,1,true
19,0,Null,0,0,63,85,10,11,false
19,0,1,0,23,31,8,7,2,false
19,1,1,0,43,29,9,7,3,false
19,2,0,8,43,9,17,3,3,false
19,3,1,8,59,26,10,7,4,false
19,4,1,8,88,32,3,6,1,false
19,5,1,8,111,25,2,7,1,true
20,0,Null,0,0,81,64,10,11,false
20,0,1,0,14,15,1,4,1,false
20,1,0,5,14,9,14,3,4,false
20,2,1,5,22,15,7,4,1,false
20,3,1,5,31,18,9,7,4,false
20,4,1,5,49,25,7,7,3,false
20,5,0,11,49,7,13,2,4,false
20,6,1,11,62,14,1,4,1,false
20,7,1,11,68,15,9,4,3,false
20,8,0,31,68,6,26,3,7,false
20,9,0,52,68,10,31,4,7,false
20,10,0,55,68,8,11,3,5,false
20,11,0,66,68,7,18,4,4,false
20,12,0,90,68,3,27,1,4,false
20,13,0,96,68,10,16,4,3,false
20,14,1,96,85,24,7,4,4,false
20,15,1,96,113,36,8,7,3,true
21,0,Null,0,0,65,79,10,11,false
21,0,0,15,0,10,25,4,7,false
21,1,0,21,0,6,12,4,4,false
21,2,1,21,25,32,7,5,4,false
21,3,0,35,25,2,16,1,6,false
21,4,0,67,25,1,33,1,7,false
21,5,0,71,25,7,11,3,5,false
21,6,1,71,96,73,2,10,1,false
21,7,0,81,96,9,19,4,4,false
21,8,0,85,96,10,14,4,4,false
