Game,Rounds,P0 Score,P1 Score,Winner
0,4,0,138,1
1,7,69,118,1
2,10,68,115,1
3,6,44,135,1
4,6,83,103,1
5,6,137,47,0
6,2,122,0,0
7,5,17,141,1
8,6,100,36,0
9,8,97,109,1
10,3,106,0,0
11,6,117,85,0
12,6,133,64,0
13,5,0,120,1
14,11,77,100,1
15,5,0,103,1
16,8,111,6,0
17,5,61,103,1
18,5,30,132,1
19,8,63,120,1
