Game,Rounds,P0 Score,P1 Score,Winner
0,6,118,39,0
1,5,115,88,0
2,7,57,123,1
3,10,112,94,0
4,6,146,46,0
5,11,138,79,0
6,7,105,46,0
7,11,116,92,0
8,6,101,27,0
9,5,0,127,1
10,9,138,56,0
11,7,11,108,1
12,9,112,80,0
13,5,11,120,1
14,12,116,92,0
15,9,45,107,1
16,3,112,0,0
17,8,60,110,1
18,8,110,34,0
19,9,103,28,0
20,10,87,114,1
21,6,40,104,1
22,3,0,128,1
23,9,58,112,1
24,6,107,32,0
