Game,Rounds,P0 Score,P1 Score,Winner
0,4,19,110,1
1,8,98,122,1
2,8,69,111,1
3,4,25,102,1
4,5,12,131,1
5,3,0,100,1
6,7,41,132,1
7,7,37,106,1
8,8,45,120,1
9,2,0,114,1
10,11,93,153,1
11,5,4,126,1
12,9,83,126,1
13,2,0,106,1
14,8,91,130,1
15,4,0,103,1
16,7,80,101,1
17,3,0,109,1
18,10,70,135,1
19,6,70,123,1
20,4,6,135,1
21,4,27,111,1
22,7,130,16,0
23,5,53,132,1
24,8,39,109,1
,,,Basic,24
,,,MCTS,1
