Game,Rounds,P0 Score,P1 Score,Winner
0,4,5,101,1
1,4,8,106,1
2,7,50,123,1
3,5,10,105,1
4,7,101,40,0
5,11,109,85,0
6,4,105,0,0
7,4,0,110,1
8,5,117,23,0
9,5,74,108,1
10,11,88,125,1
11,7,39,146,1
12,7,56,120,1
13,5,78,124,1
14,9,118,87,0
15,5,18,113,1
16,6,67,112,1
17,12,47,102,1
18,11,119,65,0
19,6,115,18,0
